product_id,price_inr,energy_rating_stars,warranty_years,capacity_unified,price_density_score,warranty_quality_interaction,city,platform,reviewer_location,availability,product_category,sub_type,model_name,capacity_tons,capacity_liters,capacity_kg,capacity_place_settings,technology,feature_1,color,manufacturing_date,customer_rating,discount_offered,warranty_duration_months,review_sentiment,return_status,complaint_text,resolved_status,review_date,product_name,username
PID839104,75847.0,2.0,2.0,1.5 Tons,50564.632956911366,9.2,Delhi,Vijay Sales,Pune,Out of Stock,Refrigerator,Side-by-Side,Model_A442,1.5,350.0,7.0,12.0,Direct Cool,NeoFrost Dual Cooling,Grey,2022-08-26,4.6,30.0,24.0,Negative,Returned,Remote stopped working.,In Progress,2022-04-24,Voltas Side-by-Side Refrigerator (Model_A442),ravi_1
PID725945,83862.0,1.0,1.0,1.5 Tons,55907.96272802485,3.7,Pune,Croma,Ahmedabad,Out of Stock,Dishwasher,Full Size,Model_F109,1.5,50.0,7.0,12.0,Electronic Control,Hygiene+,Blue,2022-04-09,3.7,0.0,12.0,Positive,Returned,No issues so far.,In Progress,2024-01-01,Voltas Full Size Dishwasher (Model_F109),vinod.8
PID974858,63605.0,2.0,2.0,2.0 Tons,31802.48409875795,8.0,Pune,Croma,Bangalore,In Stock,Air Conditioner,Split AC,Model_V359,2.0,50.0,7.0,12.0,Non-Inverter,Turbo Mode,Silver,2023-12-06,4.0,10.0,24.0,Positive,Not Returned,Cooling issue after 2 months.,Resolved,2023-03-21,Voltas Split AC Air Conditioner (Model_V359),komalexpress52
PID182086,32829.0,3.0,2.0,1.5 Tons,21885.985409343062,7.2,Mumbai,Flipkart,Chennai,Out of Stock,Washing Machine,Top Load,Model_C132,1.5,50.0,6.5,12.0,Fully-Automatic,GentleWave Drum,Silver,2022-03-13,3.6,15.0,24.0,Negative,Not Returned,No issues so far.,In Progress,2022-12-19,Voltas Top Load Washing Machine (Model_C132),anita.buyer189
PID443464,9258.0,2.0,2.0,1.5 Tons,6171.995885336077,8.6,Bengaluru,Croma,Delhi,In Stock,Water Dispenser,Top Loading,Model_L479,1.5,15.0,7.0,12.0,Compressor Cooling,Normal & Cold,Blue,2022-08-26,4.3,0.0,24.0,Negative,Returned,Remote stopped working.,Unresolved,2022-03-03,Voltas Top Loading Water Dispenser (Model_L479),neha8
PID938559,48331.0,3.0,5.0,1.5 Tons,32220.645186236543,22.0,Chennai,Flipkart,Pune,Out of Stock,Air Cooler,Tower,Model_E472,1.5,20.0,7.0,12.0,Evaporative Cooling,Honeycomb Pads,Blue,2023-09-05,4.4,30.0,60.0,Positive,Not Returned,Remote stopped working.,Resolved,2023-09-29,Voltas Tower Air Cooler (Model_E472),divya_zone58
PID158813,27154.0,2.0,10.0,1.5 Tons,18102.65459823027,46.0,Mumbai,Croma,Mumbai,Out of Stock,Water Dispenser,Top Loading,Model_S226,1.5,20.0,7.0,12.0,Compressor Cooling,"Hot, Normal & Cold",Blue,2023-03-05,4.6,30.0,120.0,Positive,Not Returned,Excellent performance.,In Progress,2023-04-28,Voltas Top Loading Water Dispenser (Model_S226),radha_deals12
PID276943,72790.0,4.0,5.0,1.5 Tons,48526.634315577125,21.0,Chennai,Flipkart,Pune,In Stock,Air Cooler,Personal,Model_T357,1.5,70.0,7.0,12.0,Evaporative Cooling,Ice Chamber,Grey,2024-02-07,4.2,10.0,60.0,Positive,Not Returned,Remote stopped working.,In Progress,2024-05-22,Voltas Personal Air Cooler (Model_T357),kiran_204
PID842796,16918.0,4.0,2.0,1.5 Tons,11278.65914756057,6.2,Mumbai,Flipkart,Hyderabad,In Stock,Dishwasher,Full Size,Model_V125,1.5,50.0,7.0,15.0,Electronic Control,Hygiene+,Blue,2023-08-03,3.1,10.0,24.0,Neutral,Returned,Cooling issue after 2 months.,Unresolved,2024-01-28,Voltas Full Size Dishwasher (Model_V125),vinod.0
PID584053,63342.0,3.0,1.0,1.5 Tons,42227.97184801877,4.5,Bengaluru,Amazon,Bangalore,Out of Stock,Refrigerator,Side-by-Side,Model_A0,1.5,180.0,7.0,12.0,Direct Cool,StoreFresh+,Black,2023-12-21,4.5,30.0,12.0,Positive,Returned,Slow installation service.,Resolved,2024-05-17,Voltas Side-by-Side Refrigerator (Model_D445),rajesh.4
PID510862,44194.0,2.0,2.0,1.5 Tons,29462.647024901984,7.0,Chennai,Amazon,Mumbai,In Stock,Air Cooler,Personal,Model_U98,1.5,70.0,7.0,12.0,Evaporative Cooling,Remote Control,Silver,2023-08-14,3.5,15.0,24.0,Negative,Returned,Noisy operation at night.,Resolved,2023-02-22,Voltas Personal Air Cooler (Model_U98),neha_buyer323
PID405350,21731.0,2.0,5.0,1.5 Tons,14487.32367511755,16.0,Delhi,Vijay Sales,Delhi,In Stock,Refrigerator,Side-by-Side,Model_T435,1.5,250.0,7.0,12.0,Frost Free,ProSmart Inverter Motor,Blue,2024-03-05,3.2,5.0,60.0,Negative,Not Returned,Cooling issue after 2 months.,In Progress,,Voltas Side-by-Side Refrigerator (Model_T435),suresh_reviews340
PID371392,11120.0,3.0,10.0,1.5 Tons,7413.328391114406,47.0,Bengaluru,Amazon,Delhi,Out of Stock,Washing Machine,Top Load,Model_B235,1.5,50.0,8.0,12.0,Semi-Automatic,ProSmart Inverter Motor,Silver,2022-03-31,4.7,5.0,120.0,Negative,Not Returned,Delivered with damaged packaging.,In Progress,2023-04-12,Voltas Top Load Washing Machine (Model_B235),priya992
PID940490,51462.0,3.0,1.0,1.5 Tons,34307.97712801525,4.4,Delhi,Flipkart,Ahmedabad,In Stock,Dishwasher,Full Size,Model_Y388,1.5,50.0,7.0,12.0,Electronic Control,Hygiene+,Black,2022-01-26,4.4,20.0,12.0,Positive,Not Returned,Noisy operation at night.,Unresolved,2023-05-31,Voltas Full Size Dishwasher (Model_Y388),rahul0
PID938187,74569.0,3.0,10.0,1.5 Tons,49712.63352491098,36.0,Chennai,Vijay Sales,Ahmedabad,Out of Stock,Dishwasher,Full Size,Model_F499,1.5,50.0,7.0,14.0,Electronic Control,Hygiene+,White,2023-12-20,3.6,15.0,120.0,Positive,Not Returned,Slow installation service.,Resolved,2022-09-28,Voltas Full Size Dishwasher (Model_F499),anita.22
PID753334,78780.0,1.0,5.0,2.0 Tons,39389.98030500984,15.5,Delhi,Vijay Sales,Chennai,In Stock,Air Conditioner,Inverter AC,Model_F83,2.0,50.0,7.0,12.0,Inverter,Adjustable Cooling,Grey,2022-02-01,3.1,30.0,60.0,Positive,Not Returned,Remote stopped working.,Resolved,2022-09-20,Voltas Inverter AC Air Conditioner (Model_F83),rahulkart79
PID609392,41122.0,5.0,10.0,1.5 Tons,27414.648390234408,33.0,Pune,Croma,Chennai,In Stock,Washing Machine,Top Load,Model_O222,1.5,50.0,8.0,12.0,Semi-Automatic,GentleWave Drum,Silver,2022-07-03,3.3,20.0,120.0,Positive,Returned,Slow installation service.,In Progress,2022-09-24,Voltas Top Load Washing Machine (Model_O222),rohit.779
PID826866,32341.0,3.0,5.0,1.5 Tons,21560.65229289848,18.5,Bengaluru,Amazon,Bangalore,In Stock,Washing Machine,Front Load,Model_J399,1.5,50.0,7.0,12.0,Fully-Automatic,SteamWash,Blue,2023-03-27,3.7,25.0,60.0,Negative,Not Returned,Remote stopped working.,Unresolved,2022-12-07,Voltas Front Load Washing Machine (Model_J399),pooja4
PID790769,40810.0,3.0,1.0,1.5 Tons,27206.648528900983,3.4,Bengaluru,Amazon,Delhi,In Stock,Refrigerator,Bottom Loading,Model_I138,1.5,15.0,7.0,12.0,Compressor Cooling,"Hot, Normal & Cold",Silver,2022-07-01,3.4,20.0,12.0,Negative,Not Returned,Slow installation service.,In Progress,2023-10-25,Voltas Bottom Loading Water Dispenser (Model_I138),reena_buyer3
PID608976,14608.0,5.0,2.0,1.5 Tons,9738.66017422655,7.2,Hyderabad,Flipkart,Delhi,In Stock,Air Cooler,Desert,Model_A156,1.5,20.0,7.0,12.0,Evaporative Cooling,Honeycomb Pads,Grey,2022-12-31,3.6,10.0,24.0,Negative,Not Returned,Remote stopped working.,In Progress,2023-07-22,Voltas Desert Air Cooler (Model_A156),sanjay.user79
PID620194,35936.0,5.0,1.0,1.5 Tons,23957.317361788428,4.6,Hyderabad,Amazon,Chennai,Out of Stock,Water Dispenser,Top Loading,Model_P249,1.5,15.0,7.0,12.0,Compressor Cooling,Hot & Cold,Grey,2022-11-09,4.6,15.0,12.0,Negative,Returned,Delivered with damaged packaging.,Resolved,2022-09-09,Voltas Top Loading Water Dispenser (Model_P249),ajay.express166
PID659819,74966.0,2.0,2.0,1.5 Tons,49977.300015133325,8.0,Hyderabad,Croma,Chennai,Out of Stock,Refrigerator,Single Door,Model_H163,1.5,450.0,7.0,12.0,Direct Cool,Active Fresh Blue Light,Blue,2022-07-09,4.0,5.0,24.0,Neutral,Not Returned,Delivered with damaged packaging.,Resolved,2022-12-04,Voltas Single Door Refrigerator (Model_H163),poojaindia13
PID957833,35539.0,3.0,10.0,1.5 Tons,23692.65087156609,43.0,Hyderabad,Croma,Ahmedabad,In Stock,Refrigerator,Double Door,Model_X413,1.5,350.0,7.0,12.0,Frost Free,StoreFresh+,Silver,2024-05-02,4.3,30.0,120.0,Positive,Returned,Excellent performance.,Resolved,2023-08-29,Voltas Double Door Refrigerator (Model_X413),suresh.user62
PID496691,55190.0,3.0,5.0,1.5 Tons,36793.3088044608,24.0,Pune,Croma,Bangalore,In Stock,Air Cooler,Tower,Model_Z207,1.5,70.0,7.0,12.0,Evaporative Cooling,Honeycomb Pads,Grey,2022-09-27,4.8,30.0,60.0,Negative,Returned,Slow installation service.,Resolved,2022-05-14,Voltas Tower Air Cooler (Model_Z207),pooja_63
PID890270,46511.0,5.0,5.0,1.5 Tons,31007.31266179156,20.0,Chennai,Vijay Sales,Chennai,Out of Stock,Water Dispenser,Top Loading,Model_Q42,1.5,15.0,7.0,12.0,Compressor Cooling,Hot & Cold,Grey,2023-11-12,4.0,25.0,60.0,Negative,Not Returned,Noisy operation at night.,Resolved,2022-02-15,Voltas Top Loading Water Dispenser (Model_Q42),neha_deals99
PID785454,79445.0,2.0,10.0,1.5 Tons,52963.29802446799,37.0,Chennai,Croma,Ahmedabad,In Stock,Water Dispenser,Top Loading,Model_H475,1.5,15.0,7.0,12.0,Compressor Cooling,"Hot, Normal & Cold",Black,2022-02-20,3.7,30.0,120.0,Neutral,Not Returned,Excellent performance.,Resolved,2023-10-12,Voltas Top Loading Water Dispenser (Model_H475),deepakart1
PID675151,71359.0,5.0,10.0,1.5 Tons,47572.6349515767,34.0,Chennai,Croma,Chennai,Out of Stock,Refrigerator,Side-by-Side,Model_M376,1.5,550.0,7.0,12.0,Direct Cool,StoreFresh+,White,2023-06-23,3.4,5.0,120.0,Positive,Not Returned,Excellent performance.,Resolved,2023-07-03,Voltas Side-by-Side Refrigerator (Model_M376),ravi.online880
PID404474,19970.0,1.0,2.0,1.5 Tons,13313.324457783696,6.8,Hyderabad,Amazon,Pune,In Stock,Refrigerator,Side-by-Side,Model_E368,1.5,350.0,7.0,12.0,Direct Cool,StoreFresh+,Blue,2023-02-12,3.4,20.0,24.0,Negative,Not Returned,Noisy operation at night.,In Progress,2024-03-29,Voltas Side-by-Side Refrigerator (Model_E368),nehauser9
PID103620,83970.0,3.0,5.0,1.5 Tons,55979.96268002488,18.0,Bengaluru,Vijay Sales,Mumbai,In Stock,Dishwasher,Table Top,Model_T227,1.5,50.0,7.0,8.0,Electronic Control,AquaIntense,White,2022-04-05,3.6,20.0,60.0,Positive,Returned,Excellent performance.,Unresolved,2023-01-21,Voltas Table Top Dishwasher (Model_T227),rajesh.deals959
PID830085,78035.0,3.0,10.0,1.5 Tons,52023.29865113424,40.0,Pune,Amazon,Pune,Out of Stock,Water Dispenser,Bottom Loading,Model_A364,1.5,20.0,7.0,12.0,Compressor Cooling,"Hot, Normal & Cold",Silver,2023-12-18,4.0,15.0,24.0,Positive,Not Returned,No issues so far.,Resolved,2022-01-19,Voltas Bottom Loading Water Dispenser (Model_A364),rahul.user558
PID500559,72048.0,4.0,2.0,1.5 Tons,48031.967978688015,9.2,Bengaluru,Amazon,Delhi,Out of Stock,Dishwasher,Table Top,Model_K88,1.5,50.0,7.0,8.0,Electronic Control,Hygiene+,Silver,2023-04-24,4.6,25.0,24.0,Negative,Returned,Slow installation service.,In Progress,2024-01-01,Voltas Table Top Dishwasher (Model_K88),mohan.shop4
PID536856,60483.0,1.0,2.0,1.5 Tons,40321.97311868459,6.8,Delhi,Amazon,Pune,Out of Stock,Air Cooler,Personal,Model_S252,1.5,20.0,7.0,12.0,Evaporative Cooling,Ice Chamber,Black,2023-07-18,3.4,5.0,24.0,Neutral,Returned,Remote stopped working.,In Progress,2023-05-09,Voltas Personal Air Cooler (Model_S252),sanjay419
PID612575,28861.0,4.0,10.0,1.2 Tons,24050.81329098893,40.0,Pune,Flipkart,Pune,In Stock,Air Conditioner,Split AC,Model_P405,1.2,50.0,7.0,12.0,Non-Inverter,ProSmart Inverter Motor,White,2024-04-14,4.0,10.0,120.0,Neutral,Returned,Slow installation service.,In Progress,2023-01-29,Voltas Split AC Air Conditioner (Model_P405),ravionline92
PID948978,77367.0,1.0,10.0,1.5 Tons,51577.9656146896,49.0,Mumbai,Amazon,Mumbai,Out of Stock,Air Conditioner,Window AC,Model_I450,1.5,50.0,7.0,12.0,Non-Inverter,Turbo Mode,Black,2023-11-09,4.9,5.0,120.0,Positive,Not Returned,Delivered with damaged packaging.,In Progress,2024-05-23,Voltas Window AC Air Conditioner (Model_I450),ajay.5
PID714929,68458.0,3.0,1.0,1.5 Tons,45638.63624090917,3.3,Pune,Vijay Sales,Hyderabad,In Stock,Dishwasher,Table Top,Model_A494,1.5,50.0,7.0,8.0,Electronic Control,Hygiene+,Silver,2023-04-11,3.3,10.0,12.0,Positive,Not Returned,No issues so far.,Unresolved,2022-11-22,Voltas Table Top Dishwasher (Model_A494),seema18
PID244072,84533.0,4.0,1.0,1.5 Tons,56355.29576313616,3.9,Hyderabad,Vijay Sales,Pune,Out of Stock,Water Dispenser,Top Loading,Model_V47,1.5,20.0,7.0,12.0,Compressor Cooling,Hot & Cold,Blue,2024-01-29,3.9,0.0,12.0,Negative,Returned,No issues so far.,In Progress,2024-05-16,Voltas Top Loading Water Dispenser (Model_V47),vinod.80
PID371496,54978.0,3.0,10.0,1.5 Tons,36651.975565349625,36.0,Mumbai,Amazon,Chennai,In Stock,Refrigerator,Bottom Loading,Model_I320,1.5,15.0,7.0,12.0,Compressor Cooling,Hot & Cold,Grey,2022-06-07,3.6,5.0,120.0,Neutral,Not Returned,Delivered with damaged packaging.,In Progress,,Voltas Bottom Loading Water Dispenser (Model_I320),preeti.98
PID661205,36380.0,3.0,5.0,1.5 Tons,24253.317164455224,19.5,Mumbai,Croma,Hyderabad,In Stock,Air Cooler,Personal,Model_K296,1.5,20.0,7.0,12.0,Evaporative Cooling,ProSmart Inverter Motor,White,2022-01-16,3.9,15.0,60.0,Positive,Not Returned,Cooling issue after 2 months.,In Progress,2023-01-29,Voltas Personal Air Cooler (Model_K296),mohankart81
PID713967,46717.0,4.0,2.0,1.5 Tons,31144.6459035694,8.0,Bengaluru,Vijay Sales,Delhi,In Stock,Washing Machine,Front Load,Model_J321,1.5,50.0,9.0,12.0,Fully-Automatic,ProSmart Inverter Motor,Grey,2023-10-13,4.0,10.0,60.0,Neutral,Returned,Delivered with damaged packaging.,Resolved,2023-02-27,Voltas Front Load Washing Machine (Model_J321),anita.2
PID623558,46386.0,4.0,1.0,1.5 Tons,30923.979384013743,3.1,Mumbai,Amazon,Ahmedabad,Out of Stock,Water Dispenser,Bottom Loading,Model_E290,1.5,20.0,7.0,12.0,Compressor Cooling,"Hot, Normal & Cold",Blue,2022-01-26,3.1,25.0,12.0,Negative,Not Returned,Excellent performance.,In Progress,2023-07-21,Vlotas Single Door Refrigerator (Model_N325),preeti.buyer7
PID631495,17287.0,4.0,2.0,1.5 Tons,11524.658983560676,8.0,Mumbai,Amazon,Hyderabad,In Stock,Refrigerator,Double Door,Model_L141,1.5,550.0,7.0,12.0,Direct Cool,StoreFresh+,White,2023-01-13,4.0,5.0,24.0,Positive,Not Returned,Noisy operation at night.,In Progress,2024-03-21,Voltas Double Door Refrigerator (Model_L141),deepa.india16
PID980579,82103.0,3.0,10.0,1.5 Tons,54735.29684313544,43.0,Hyderabad,Amazon,Ahmedabad,Out of Stock,Air Cooler,Desert,Model_U384,1.5,20.0,7.0,12.0,Evaporative Cooling,Honeycomb Pads,White,2022-09-04,4.3,25.0,120.0,Neutral,Returned,Delivered with damaged packaging.,In Progress,2023-10-06,Vlotas Single Door Refrigerator (Model_N325),swati_user2
PID236173,58058.0,4.0,1.0,1.5 Tons,38705.30752979498,4.4,Pune,Amazon,Mumbai,Out of Stock,Washing Machine,Front Load,Model_O144,1.5,50.0,9.0,12.0,Semi-Automatic,GentleWave Drum,Black,2022-10-16,4.4,15.0,12.0,Neutral,Not Returned,Cooling issue after 2 months.,Unresolved,2022-01-25,Voltas Front Load Washing Machine (Model_O144),anil.21
PID721232,10369.0,3.0,1.0,1.5 Tons,6912.662058225295,4.0,Bengaluru,Croma,Bangalore,In Stock,Refrigerator,Double Door,Model_Y284,1.5,250.0,7.0,12.0,Direct Cool,NeoFrost Dual Cooling,White,2022-01-24,4.0,25.0,12.0,Neutral,Not Returned,Slow installation service.,Unresolved,2022-09-29,Voltas Double Door Refrigerator (Model_Y284),seema641
PID129616,32197.0,1.0,2.0,1.2 Tons,26830.81097432419,9.6,Chennai,Amazon,Mumbai,Out of Stock,Air Conditioner,Inverter AC,Model_J269,1.2,50.0,7.0,12.0,Inverter,Turbo Mode,Black,2023-12-31,4.8,25.0,24.0,Neutral,Not Returned,Noisy operation at night.,Resolved,2023-08-30,Voltas Inverter ACA ir Conditioner (Model_J269),deepa6
PID280950,39004.0,3.0,1.0,1.5 Tons,26002.64933156712,3.7,Pune,Flipkart,Mumbai,Out of Stock,Washing Machine,Top Load,Model_C54,1.5,50.0,9.0,12.0,Fully-Automatic,SteamWash,Grey,2022-12-07,3.7,10.0,12.0,Neutral,Not Returned,Excellent performance.,Unresolved,,Voltas Top Loa dWashing Machine (Model_C54),radha_80
PID208221,31862.0,2.0,2.0,1.5 Tons,21241.319172453885,8.0,Chennai,Croma,Hyderabad,In Stock,Washing Machine,Front Load,Model_H319,1.5,50.0,6.0,12.0,Semi-Automatic,SteamWash,Blue,2022-06-14,4.0,30.0,24.0,Neutral,Returned,Delivered with damaged packaging.,Unresolved,2023-09-11,Voltas Front Load Washing Machine (Model_H319),swatikart045
PID131741,78999.0,2.0,10.0,1.5 Tons,52665.96488935674,38.0,Hyderabad,Croma,Ahmedabad,In Stock,Dishwasher,Full Size,Model_K374,1.5,50.0,7.0,15.0,Electronic Control,AquaIntense,Grey,2023-01-29,3.8,10.0,120.0,Negative,Returned,Excellent performance.,In Progress,2023-12-26,Voltas Full Size Dishwasher (Model_K374),komal_908
PID916646,23878.0,5.0,1.0,1.5 Tons,15918.656054229295,3.1,Bengaluru,Vijay Sales,Hyderabad,In Stock,Dishwasher,Full Size,Model_X465,1.5,50.0,7.0,14.0,Electronic Control,ProSmart Inverter Motor,Silver,2022-11-08,3.1,30.0,12.0,Neutral,Returned,Delivered with damaged packaging.,Resolved,2023-10-22,Voltas Full Size Dishwasher (Model_X465),anita_india21
PID459735,67662.0,3.0,5.0,1.5 Tons,45107.96992802005,19.5,Hyderabad,Croma,Pune,In Stock,Air Cooler,Personal,Model_S174,1.5,50.0,7.0,12.0,Evaporative Cooling,Ice Chamber,Silver,2023-05-03,3.9,15.0,60.0,Positive,Not Returned,No issues so far.,Unresolved,2022-08-07,Voltas Personal Air Cooler (Model_S174),rohitbuyer3
PID795140,23117.0,3.0,1.0,1.5 Tons,15411.323059117962,4.6,Delhi,Flipkart,Ahmedabad,In Stock,Dishwasher,Table Top,Model_D263,1.5,50.0,7.0,8.0,Electronic Control,Hygiene+,White,,4.6,10.0,12.0,Neutral,Returned,Cooling issue after 2 months.,Unresolved,2024-03-08,Voltas Table Top Dishwahser (Model_D263),vinod.express86
PID787203,25524.0,3.0,1.0,1.2 Tons,21269.98227501477,4.0,Bengaluru,Amazon,Ahmedabad,Out of Stock,Air Conditioner,Inverter AC,Model_Y180,1.2,50.0,7.0,12.0,Inverter,Self Diagnosis,Black,2024-06-30,4.0,15.0,12.0,Neutral,Returned,Excellent performance.,Unresolved,2022-12-23,Voltas Inverter AC Air Conditioner (Model_Y180),vikas567
PID305153,20440.0,5.0,2.0,1.5 Tons,13626.65758222828,7.8,Bengaluru,Amazon,Mumbai,Out of Stock,Air Cooler,Personal,Model_R355,1.5,90.0,7.0,12.0,Evaporative Cooling,Honeycomb Pads,Blue,2022-07-03,3.9,5.0,24.0,Neutral,Not Returned,Cooling issue after 2 months.,Unresolved,2023-07-16,Voltas Personal Air Cooler (Model_R355),nehareviews31
PID455943,79830.0,3.0,1.0,1.5 Tons,53219.964520023655,5.0,Delhi,Amazon,Delhi,In Stock,Air Cooler,Tower,Model_X387,1.5,90.0,7.0,12.0,Evaporative Cooling,Honeycomb Pads,Blue,2023-05-28,5.0,15.0,12.0,Neutral,Returned,Slow installation service.,In Progress,2024-02-04,Voltas Tower Air Cooler (Model_X387),komalzone601
PID935897,76163.0,2.0,2.0,1.5 Tons,50775.29948313368,8.2,Pune,Vijay Sales,Chennai,Out of Stock,Air Cooler,Personal,Model_D289,1.5,50.0,7.0,12.0,Compressor Cooling,Remote Control,Blue,,4.1,15.0,24.0,Negative,Returned,Noisy operation at night.,In Progress,2022-10-11,Voltas Personal Air Cooler (Model_D289),nehaonline7
PID128402,70167.0,4.0,5.0,1.5 Tons,46777.96881468746,24.5,Mumbai,Amazon,Bangalore,In Stock,Air Conditioner,Window AC,Model_U46,1.5,50.0,7.0,12.0,Non-Inverter,Turbo Mode,Grey,2024-04-29,4.9,20.0,60.0,Negative,Returned,Excellent performance.,Resolved,2023-06-08,Voltas Window AC Air Conditioner (Model_U46),arjun.express76
PID543920,70676.0,4.0,10.0,1.5 Tons,47117.30192179872,40.0,Mumbai,Vijay Sales,Delhi,In Stock,Air Conditioner,Split AC,Model_G58,1.5,50.0,7.0,12.0,Non-Inverter,Self Diagnosis,Silver,2024-06-23,4.0,15.0,24.0,Neutral,Returned,Delivered with damaged packaging.,Unresolved,2023-04-21,Voltas Split AC Air Conditioner (Model_G58),amit.447
PID889354,28742.0,3.0,5.0,1.5 Tons,19161.320559119627,20.0,Delhi,Croma,Ahmedabad,In Stock,Water Dispenser,Bottom Loading,Model_O274,1.5,15.0,7.0,12.0,Compressor Cooling,"Hot, Normal & Cold",Grey,2022-07-27,4.0,30.0,60.0,Negative,Not Returned,Remote stopped working.,In Progress,,Voltas Bottom Loading Water Dispenser (Model_O274),nisha.shop36
PID942893,25661.0,5.0,5.0,1.5 Tons,17107.32192845205,23.5,Pune,Croma,Hyderabad,In Stock,Washing Machine,Front Load,Model_L11,1.5,50.0,6.5,12.0,Semi-Automatic,SteamWash,Blue,2023-08-24,4.7,15.0,60.0,Positive,Returned,Cooling issue after 2 months.,Unresolved,2023-10-23,Voltas Front Load Washing Machine (Model_L11),komalonline8
